"","Plant Number","State","Plant Name","FIPS State Code","FIPS County Code","Latitude","Longitude","Centroid","Generators","Combustion Status","Capacity Factor","Nameplate Capacity","Annual Heat Input","Annual Net Generation","Annual NOx Emissions","Annual SO2 Emissions","Annual CO2 Emissions","Annual CH4 Emissions","Annual N20 Emissions","Annual Hg Emissions","Annual NOx Output Emission Rate","Ozone Season NOx Output Emission Rate","Annual SO2 Output Emission Rate","Annual CO2 Output Emission Rate","Annual CH4 Output Emission Rate","Annual N2O Output Emission Rate","Annual CO2 Equivalent Emission Rate","Annual Hg Output Emission Rate","Annual NOx Output Emission Rate","Ozone Season NOx Input Emission Rate","Annual SO2 Input Emission Rate","Annual CO2 Input Emission Rate","Annual NOx Combustion Output Emission Rate","Ozone Season NOx Combustion Output Emission Rate","Annual SO2 Combustion Output Emission Rate","Annual CO2 Combustion Output Emission Rate","Annual CH4 Combustion Output Emission Rate","Annual N2O Combustion Output Emission Rate","Unadjusted Annual NOx Emissions","Unadjusted Ozone Season NOx Emissions","Unadjusted Annual SO2 Emissions","Unadjusted Annual CO2 Emissions","Unadjusted Annual CH4 Emissions","Unadjusted Annual N2O Emissions","Unadjusted Annual Heat Input","Nomial Heat Rate","Annual Coal Net Generation","Annual Oil Net Generation","Annual Gas Net Generation","Annual Nuclear Net Generation","Annual Hydro Net Generation","Annual Biomass Net Generation","Annual Wind Net Generation","Annual Solar Net Generation","Annual Geothermal Net Generation","Annual Other Fossil Net Generation","Annual Unknown Net Generation","Plant Annual Nonrenewable Net Generation","NewFIPS","Height","Diameter","Velocity"
"1959",1959,"FL","Winston",12,105,28.0274,-82.0164,0,20,1,-0.0045,"50","2,251.00","-1,963.00","2.74","0.12","183.5","15.7","3.1",-99,"-2.7957","-2.7929","-0.1185","-186.97","-8","-1.6","-187.63",-99,2.438,2.438,0.1033,163.04,"-2.7957","-2.7929","-0.1185","-186.97","-8","-1.6","2.74","1.86","0.12","183.5","15.7","3.1","2,251.00","-1,146.71","0","-1,963.00","0","0","0","0","0","0","0","0","0","-1,963.00",12105,45.72,5.4864,48.37
"1964",1964,"GA","Athens Regional Medical Center",13,59,33.9625,-83.3981,0,7,1,0,"4.6","873","0","1.06","0.08","71.2","6.1","1.2",-99,"0","0","0","0","0","0","0",-99,2.438,2.438,0.183,163.04,"0","0","0","0","0","0","1.06","0.4","0.08","71.2","6.1","1.2","873","-99","0","0","0","0","0","0","0","0","0","0","0","0",13059,9.144,0.6401,9.327
"2010",2010,"GA","Inforum",13,121,33.7533,-84.3889,0,1,1,0,"1.3","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0.1","0.04","0.01","6.4","0.5","0.1","78","-99","0","0","0","0","0","0","0","0","0","0","0","0",13121,9.8755,0.762,9.327
"2025",2025,"GA","McIntosh Combined Cycle Facility",13,103,32.3478,-81.1817,0,6,1,0.6248,"1,376.60","52,261,002.90","7,534,021.00","161.48","15.68","3,105,799.40","121,559.10","12,176.80",-99,"0.0429","0.0423","0.0042","824.47","16.13","1.62","825.31",-99,0.0062,0.006,6e-04,118.86,"0.0429","0.0423","0.0042","824.47","16.13","1.62","161.48","78.78","15.68","3,105,799.40","121,559.10","12,176.80","52,261,002.90","6,936.67","0","0","7,534,021.00","0","0","0","0","0","0","0","0","7,534,021.00",13103,10.668,0.701,9.723
"2031",2031,"GA","Milstead",13,247,33.6894,-83.9903,0,1,0,0.125,"1","0","1,095.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","1,095.00","0","0","0","0","0","0","0",13247,10.668,0.5791,5.334
"2075",2075,"GA","Terrora",13,241,34.7504,-83.4063,0,2,0,0.2093,"16","0","29,342.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","29,342.00","0","0","0","0","0","0","0",13241,15.24,0.6096,15.24
"2095",2095,"GA","Yates",13,77,33.4622,-84.8986,0,7,1,0.1821,"1,487.30","25,772,614.00","2,372,465.00","3,764.55","29,789.83","2,644,256.20","59,947.10","89,920.70",-99,"3.1735","2.5963","25.113","2,229.12","25.27","37.9","2,241.40",-99,0.2921,0.243,2.3117,205.2,"3.1735","2.5963","25.113","2,229.12","25.27","37.9","3,764.55","1,316.42","29,789.83","2,644,256.20","59,947.10","89,920.70","25,772,614.00","10,863.22","2,158,681.40","3,308.50","210,475.10","0","0","0","0","0","0","0","0","2,372,465.00",13077,8.8392,0.762,10.06
"2096",2096,"GA","YKK USA Chestney",13,21,32.8061,-83.5456,0,7,1,0,"1","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",13021,9.144,0.6401,9.327
"2106",2106,"HI","Hana Substation",15,9,20.7658,-155.9961,0,2,1,0.0038,"2","811","67","0.99","0.07","66.1","5.7","1.1",-99,"29.5107","29.0671","2.0224","1,973.57","84.47","16.9","1,980.59",-99,2.438,2.438,0.1671,163.04,"29.5107","29.0671","2.0224","1,973.57","84.47","16.9","0.99","0.39","0.07","66.1","5.7","1.1","811","12,104.48","0","67","0","0","0","0","0","0","0","0","0","67",15009,39.929,1.524,14.6
"2120",2120,"HI","Kalaeloa Cogen Plant",15,3,21.3021,-158.0963,0,3,1,0.5049,"299.4","6,575,192.40","1,324,166.00","1,016.25","1,766.66","544,205.50","45,881.70","9,179.00",-99,"1.5349","1.5254","2.6683","821.96","34.65","6.93","824.84",-99,0.3091,0.3092,0.5374,165.53,"1.5349","1.5254","2.6683","821.96","34.65","6.93","1,736.60","773.56","3,018.92","929,956.70","78,404.20","15,685.30","11,235,910.00","4,965.53","0","1,324,166.00","0","0","0","0","0","0","0","0","0","1,324,166.00",15003,10.058,0.3353,0.122
"2121",2121,"HI","Kalaeloa Solar One",15,3,21.3189,-158.0839,0,2,0,0,"6","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",15003,11.582,0.6096,7.7875
"2134",2134,"HI","Miki Basin",15,9,20.79,-156.9342,0,8,1,0.1953,"10.4","188,251.00","17,789.00","229.48","15.87","15,346.70","1,313.60","262.8",-99,"25.8","25.8018","1.7841","1,725.41","73.84","14.77","1,731.54",-99,2.438,2.438,0.1686,163.04,"25.8","25.8018","1.7841","1,725.41","73.84","14.77","229.48","91.94","15.87","15,346.70","1,313.60","262.8","188,251.00","10,582.44","0","17,789.00","0","0","0","0","0","0","0","0","0","17,789.00",15009,10.058,0.3353,0.122
"2142",2142,"HI","Puna Geothermal Venture I",15,1,19.479,-154.8884,0,12,0,0.5842,"51","0","260,997.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","260,997.00","0","0","0",15001,39.929,1.524,14.6
"2145",2145,"HI","Tesoro Hawaii",15,3,21.3032,-158.0914,0,1,1,0.782,"20","695,097.70","137,004.00","107.74","97.98","57,010.50","4,850.40","970.4",-99,"1.5728","1.5728","1.4303","832.25","35.4","7.08","835.18",-99,0.31,0.31,0.2819,164.04,"1.5728","1.5728","1.4303","832.25","35.4","7.08","235.3","94.26","213.98","124,509.80","10,593.20","2,119.20","1,518,079.00","5,073.56","0","137,004.00","0","0","0","0","0","0","0","0","0","137,004.00",15003,39.929,1.524,14.6
"2149",2149,"HI","Wailuku River Hydroelectric",15,1,19.713,-155.1486,0,2,0,0.2956,"10.4","0","26,933.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","26,933.00","0","0","0","0","0","0","0",15001,11.582,0.6096,7.7875
"2170",2170,"IA","Alliant SBD 9302 Aegon NP",19,113,42.0264,-91.7042,0,1,1,0.0018,"1.2","284","19","0.35","0.03","23.2","2","0.4",-99,"36.4417","35.5452","3.1641","2,437.09","104.3","20.87","2,445.75",-99,2.438,2.438,0.2117,163.04,"36.4417","35.5452","3.1641","2,437.09","104.3","20.87","0.35","0.15","0.03","23.2","2","0.4","284","14,947.37","0","19","0","0","0","0","0","0","0","0","0","19",19113,11.582,0.6096,7.7875
"2198",2198,"IA","Cargill Corn Milling Division",19,135,41.1386,-92.6467,0,2,1,0.2959,"40","640,127.30","103,685.50","89.07","230.02","68,562.00","1,488.90","2,233.40",-99,"1.7182","1.5053","4.4369","1,322.50","14.36","21.54","1,329.48",-99,0.2783,0.27,0.7187,214.21,"1.7182","1.5053","4.4369","1,322.50","14.36","21.54","757.11","296.96","1,955.12","582,762.40","12,655.60","18,983.50","5,440,946.30","6,173.74","103,685.50","0","0","0","0","0","0","0","0","0","0","103,685.50",19135,15.24,0.6096,7.681
"2208",2208,"IA","Crane Creek Wind Energy Center",19,89,43.3639,-92.3875,0,1,0,0.364,"99","0","315,656.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","315,656.00","0","0","0","0","0",19089,15.85,0.701,8.23
"2218",2218,"IA","Durant",19,31,41.5999,-90.9112,0,5,1,4e-04,"6.4","291","25","0.35","0.03","23.7","2","0.4",-99,"28.3783","27.8878","2.5049","1,897.84","81.22","16.25","1,904.59",-99,2.438,2.438,0.2152,163.04,"28.3783","27.8878","2.5049","1,897.84","81.22","16.25","0.35","0.16","0.03","23.7","2","0.4","291","11,640.00","0","25","0","0","0","0","0","0","0","0","0","25",19031,11.582,0.6096,7.7875
"2273",2273,"IA","Lamoni Municipal Utilities",19,53,40.622,-93.9326,0,8,1,0.002,"10.5","2,110.00","182","2.57","0.23","172","14.7","2.9",-99,"28.2647","28.3715","2.5118","1,890.25","80.9","16.18","1,896.96",-99,2.438,2.438,0.2167,163.04,"28.2647","28.3715","2.5118","1,890.25","80.9","16.18","2.57","1.16","0.23","172","14.7","2.9","2,110.00","11,593.41","0","182","0","0","0","0","0","0","0","0","0","182",19053,11.232,0.6096,8.504
"2290",2290,"IA","Metro Methane Recovery Facility",19,153,41.5542,-93.2361,0,12,1,0.9038,"6.4","430,720.50","50,673.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","427.46","199.59","2.08","36,237.80","1,468.60","147.1","631,396.00","8,500.00","0","0","0","0","0","50,673.00","0","0","0","0","0","0",19153,12.436,0.6401,9.144
"2313",2313,"IA","Pella Peaking",19,125,41.4106,-92.9378,0,16,1,0.0016,"28","3,913.00","383","4.77","0.42","319","27.3","5.5",-99,"24.9083","24.9727","2.1942","1,665.78","71.29","14.26","1,671.70",-99,2.438,2.438,0.2148,163.04,"24.9083","24.9727","2.1942","1,665.78","71.29","14.26","4.77","2.14","0.42","319","27.3","5.5","3,913.00","10,216.71","0","383","0","0","0","0","0","0","0","0","0","383",19125,10.6375,0.2794,10.1803
"2350",2350,"IA","Sycamore",19,153,41.6722,-93.6769,0,2,1,0.0071,"157.6","213,095.90","9,812.00","33.28","0.06","12,454.20","495.7","49.7",-99,"6.7829","6.4136","0.013","2,538.56","50.52","5.06","2,541.19",-99,0.3123,0.3131,6e-04,116.89,"6.7829","6.4136","0.013","2,538.56","50.52","5.06","33.28","32.95","0.06","12,454.20","495.7","49.7","213,095.90","21,717.89","0","-5.4","9,817.40","0","0","0","0","0","0","0","0","9,812.00",19153,9.7536,0.5486,5.913
"2531",2531,"IL","Archer Daniels Midland Taylorville",17,21,39.5997,-89.3,0,1,1,0,"4.6","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",17021,9.7536,0.5486,9.144
"2553",2553,"IL","Braidwood Generation Station",17,197,41.2435,-88.2286,0,2,0,0.8763,"2,449.80","0","18,806,334.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","18,806,334.00","0","0","0","0","0","0","0","18,806,334.00",17197,6.7056,0.3048,9.6926
"2570",2570,"IL","Collins",17,63,41.3461,-88.3928,0,5,1,0,"2,650.10","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",17063,15.24,0.9754,11.52
"2587",2587,"IL","EcoGrove Wind LLC",17,177,42.4161,-89.8775,0,1,0,0.2789,"100.5","0","245,567.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","245,567.00","0","0","0","0","0",17177,9.7536,0.5486,9.144
"2600",2600,"IL","Five Oaks Gas Recovery",17,21,39.5678,-89.3683,0,4,1,0.895,"3.2","299,894.00","25,090.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","81.27","36.57","0.94","17,211.80","697.6","69.9","299,894.00","11,952.73","0","0","0","0","0","25,090.00","0","0","0","0","0","0",17021,11.582,0.5182,2.225
"2623",2623,"IL","High Trail Wind Farm LLC",17,113,40.4792,-88.7989,0,1,0,0.3399,"198","0","589,634.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","589,634.00","0","0","0","0","0",17113,10.058,0.0914,0.122
"2628",2628,"IL","IMEA Flora",17,25,38.6658,-88.4625,0,5,1,8e-04,"9","671","62","0.82","0.06","54.7","4.7","0.9",-99,"26.3855","26.2781","1.7854","1,764.57","75.52","15.11","1,770.84",-99,2.438,2.438,0.165,163.04,"26.3855","26.2781","1.7854","1,764.57","75.52","15.11","0.82","0.32","0.06","54.7","4.7","0.9","671","10,822.58","0","62","0","0","0","0","0","0","0","0","0","62",17025,60.04267,3.35264,16.76318
"2641",2641,"IL","Joppa Steam",17,127,37.2094,-88.8589,0,6,1,0.6735,"1,099.80","71,583,571.50","6,489,064.00","4,065.48","16,990.77","7,507,662.60","166,503.40","249,755.10",-99,"1.253","1.2741","5.2367","2,313.94","25.66","38.49","2,326.41",-99,0.1136,0.1141,0.4747,209.76,"1.253","1.2741","5.2367","2,313.94","25.66","38.49","4,065.48","1,608.51","16,990.77","7,507,662.60","166,503.40","249,755.10","71,583,571.50","11,031.42","6,489,038.60","0","25.4","0","0","0","0","0","0","0","0","6,489,064.00",17127,7.62,0.9601,10.377
"2681",2681,"IL","Newton",17,79,38.9361,-88.2781,0,2,1,0.5105,"1,234.80","56,024,904.60","5,521,461.00","3,003.88","16,519.06","5,875,890.30","130,313.90","195,470.90",-99,"1.0881","1.122","5.9836","2,128.38","23.6","35.4","2,139.85",-99,0.1072,0.1092,0.5897,209.76,"1.0881","1.122","5.9836","2,128.38","23.6","35.4","3,003.88","1,367.13","16,519.06","5,875,890.30","130,313.90","195,470.90","56,024,904.60","10,146.75","5,515,251.20","6,209.80","0","0","0","0","0","0","0","0","0","5,521,461.00",17079,6.7056,0.3048,9.6926
"2682",2682,"IL","North Chicago Energy Center",17,97,42.3064,-87.8519,0,2,1,0.3635,"12.4","541,270.00","39,490.00","41.68","0.95","31,634.00","1,259.00","126.1",-99,"2.1108","2.1108","0.048","1,602.12","31.88","3.19","1,603.78",-99,0.154,0.154,0.0035,116.89,"2.1108","2.1108","0.048","1,602.12","31.88","3.19","41.68","24.58","0.95","31,634.00","1,259.00","126.1","541,270.00","13,706.51","0","0","39,490.00","0","0","0","0","0","0","0","0","39,490.00",17097,9.4488,0.9144,10.36
"2698",2698,"IL","PPG Industries Works 14",17,115,39.7703,-88.8697,0,4,1,1e-04,"4.7","1,262.00","6","1.54","0.11","102.9","8.8","1.8",-99,"512.7927","514.7469","35.784","34,293.77","1,467.71","293.63","34,415.62",-99,2.438,2.438,0.1701,163.04,"512.7927","514.7469","35.784","34,293.77","1,467.71","293.63","1.54","0.6","0.11","102.9","8.8","1.8","1,262.00","210,333.33","0","6","0","0","0","0","0","0","0","0","0","6",17115,10.2108,0.7163,7.3455
"2753",2753,"IL","Waterloo",17,133,38.3348,-90.1589,0,10,1,0.0026,"24.8","5,712.00","558","3.67","0.26","403.9","27.4","4.9",-99,"13.1532","11.4151","0.9185","1,447.66","49.12","8.71","1,451.40",-99,1.2849,1.0625,0.0897,141.42,"13.1532","11.4151","0.9185","1,447.66","49.12","8.71","3.67","1.46","0.26","403.9","27.4","4.9","5,712.00","10,236.56","0","361.1","196.9","0","0","0","0","0","0","0","0","558",17133,9.7535,0.47245,17.235
"2755",2755,"IL","Wells Manufacturing Dura Bar Division",17,111,42.3142,-88.4561,0,6,1,0.1192,"6","50,374.00","6,263.00","13.65","0.11","2,944.10","117.2","11.7",-99,"4.3594","4.3595","0.0352","940.14","18.71","1.87","941.12",-99,0.542,0.542,0.0044,116.89,"4.3594","4.3595","0.0352","940.14","18.71","1.87","13.65","8.05","0.11","2,944.10","117.2","11.7","50,374.00","8,043.11","0","0","6,263.00","0","0","0","0","0","0","0","0","6,263.00",17111,12.4968,0.7925,9.8999
"2765",2765,"IL","Zion Landfill Gas to Energy Facility",17,97,42.4803,-87.8861,0,5,1,0.6871,"7","468,219.00","42,134.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","126.89","57.09","1.6","26,872.50","1,089.10","109.1","468,219.00","11,112.62","0","0","0","0","0","42,134.00","0","0","0","0","0","0",17097,12.4968,0.7925,9.8999
"2769",2769,"IN","AES Petersburg",18,125,38.5281,-87.2525,0,7,1,0.5107,"2,154.80","99,725,787.20","9,640,905.00","9,294.09","15,463.19","10,231,838.50","231,967.30","347,941.00",-99,"1.9281","1.9722","3.2078","2,122.59","24.06","36.09","2,134.28",-99,0.1864,0.1879,0.3101,205.2,"1.9281","1.9722","3.2078","2,122.59","24.06","36.09","9,294.09","3,948.79","15,463.19","10,231,838.50","231,967.30","347,941.00","99,725,787.20","10,344.03","9,624,891.30","16,013.70","0","0","0","0","0","0","0","0","0","9,640,905.00",18125,10.272,1.0058,12.145
"2790",2790,"IN","Earthmovers LFGTE",18,39,41.625,-85.9789,0,6,1,0.893,"4.8","461,067.00","37,549.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","124.95","55.87","1.47","26,462.10","1,072.40","107.4","461,067.00","12,279.08","0","0","0","0","0","37,549.00","0","0","0","0","0","0",18039,85.64462,4.57178,15.54404
"2792",2792,"IN","Elkhart",18,39,41.6928,-85.965,0,3,0,0.4323,"3.4","0","12,875.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","12,875.00","0","0","0","0","0","0","0",18039,14.844,0.9144,10.82
"2828",2828,"IN","Miami Wabash",18,169,40.7884,-85.8178,0,6,1,1e-04,"86.6","2,254.00","57","0.28","0.21","183.8","15.7","3.1",-99,"9.9651","4.347","7.3308","6,447.42","275.94","55.2","6,470.33",-99,0.252,0.252,0.1854,163.04,"9.9651","4.347","7.3308","6,447.42","275.94","55.2","0.28","0.21","0.21","183.8","15.7","3.1","2,254.00","39,543.86","0","57","0","0","0","0","0","0","0","0","0","57",18169,6.7056,0.3048,27.22
"2843",2843,"IN","R M Schahfer",18,73,41.2164,-87.0261,0,6,1,0.3096,"2,201.40","74,398,024.40","5,970,276.00","5,940.22","14,899.50","7,699,162.90","173,049.80","257,603.90",-99,"1.9899","1.9103","4.9912","2,579.16","28.99","43.15","2,593.15",-99,0.1597,0.1527,0.4005,206.97,"1.9899","1.9103","4.9912","2,579.16","28.99","43.15","5,940.22","3,067.75","14,899.50","7,699,162.90","173,049.80","257,603.90","74,398,024.40","12,461.40","5,902,676.20","0","67,599.80","0","0","0","0","0","0","0","0","5,970,276.00",18073,7.0104,0.128,0.0305
"2848",2848,"IN","Rolls Royce",18,97,39.7398,-86.2118,0,4,1,0.3865,"5","182,706.00","16,930.00","3.88","0.09","2,945.50","117.2","11.7",-99,"0.4584","0.4624","0.0104","347.97","6.92","0.69","348.33",-99,0.0425,0.0428,0.001,32.24,"0.4584","0.4624","0.0104","347.97","6.92","0.69","20.62","9.25","0.77","15,444.00","622.8","62.4","267,740.00","10,791.85","0","0","4,670.20","0","0","12,259.90","0","0","0","0","0","4,670.20",18097,12.192,0.762,8.1685
"2854",2854,"IN","Sugar Creek Power",18,167,39.3931,-87.5108,0,6,1,0.6436,"555.3","22,188,231.00","3,130,821.00","100.59","6.66","1,318,616.50","51,609.80","5,169.90",-99,"0.0643","0.0603","0.0043","842.35","16.48","1.65","843.2",-99,0.0091,0.0085,6e-04,118.86,"0.0643","0.0603","0.0043","842.35","16.48","1.65","100.59","44.3","6.66","1,318,616.50","51,609.80","5,169.90","22,188,231.00","7,087.03","0","0","3,130,821.00","0","0","0","0","0","0","0","0","3,130,821.00",18167,9.7536,0.6401,7.711
"2862",2862,"IN","Warrick",18,173,37.915,-87.3328,0,4,1,0.7517,"800.2","62,377,407.20","5,269,090.00","10,691.69","5,170.50","6,399,920.40","145,089.80","217,634.80",-99,"4.0583","4.0653","1.9626","2,429.23","27.54","41.3","2,442.61",-99,0.3428,0.3388,0.1658,205.2,"4.0583","4.0653","1.9626","2,429.23","27.54","41.3","10,691.69","4,423.06","5,170.50","6,399,920.40","145,089.80","217,634.80","62,377,407.20","11,838.36","5,212,769.70","0","56,320.30","0","0","0","0","0","0","0","0","5,269,090.00",18173,23.1973,0.9759,8.4156
"2865",2865,"IN","Whiting Clean Energy",18,89,41.6739,-87.4775,0,3,1,0.3884,"576.8","16,439,195.80","1,962,480.00","72.38","4.93","976,954.90","38,237.60","3,830.30",-99,"0.0738","0.0694","0.005","995.63","19.48","1.95","996.65",-99,0.0088,0.0089,6e-04,118.86,"0.0738","0.0694","0.005","995.63","19.48","1.95","104.05","46.59","7.09","1,404,480.10","54,970.70","5,506.50","23,633,152.80","8,376.75","0","0","1,962,480.00","0","0","0","0","0","0","0","0","1,962,480.00",18089,9.144,0.6096,8.717
"2884",2884,"KS","Buffalo Dunes Wind Project",20,81,37.6208,-101.0761,0,1,0,0,"249.8","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20081,9.3574,0.5791,10.3937
"2930",2930,"KS","Holton",20,85,39.4735,-95.7316,0,8,1,0.0137,"21.5","29,950.00","2,584.00","21.11","0.16","1,785.70","76.8","8.8",-99,"16.3359","16.0315","0.1205","1,382.14","29.72","3.39","1,383.82",-99,1.4094,1.3831,0.0104,119.25,"16.3359","16.0315","0.1205","1,382.14","29.72","3.39","21.11","13.91","0.16","1,785.70","76.8","8.8","29,950.00","11,590.56","0","132.1","2,451.90","0","0","0","0","0","0","0","0","2,584.00",20085,9.3574,0.5791,10.3937
"2945",2945,"KS","Lakin Municipal",20,93,37.9414,-101.2639,0,1,1,4e-04,"4.4","122","16","0.12","0.01","8.8","0.6","0.1",-99,"15.2023","11.465","0.6847","1,098.98","38.67","7.01","1,101.96",-99,1.9937,1.7292,0.0898,144.13,"15.2023","11.465","0.6847","1,098.98","38.67","7.01","0.12","0.04","0.01","8.8","0.6","0.1","122","7,625.00","0","9.4","6.6","0","0","0","0","0","0","0","0","16",20093,9.9757,0.9037,12.1667
"3008",3008,"KY","Cannelton Hydroelectric Plant",21,91,37.8997,-86.7058,0,3,0,0,"87.9","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21091,9.7536,0.5486,5.913
"3013",3013,"KY","Dale",21,49,37.8806,-84.2619,0,4,1,0.1251,"216","2,643,808.40","236,713.00","476.63","1,758.07","271,248.70","6,149.50","9,224.20",-99,"4.027","4.1237","14.854","2,291.79","25.98","38.97","2,304.42",-99,0.3606,0.3736,1.33,205.2,"4.027","4.1237","14.854","2,291.79","25.98","38.97","476.63","272.92","1,758.07","271,248.70","6,149.50","9,224.20","2,643,808.40","11,168.84","236,631.90","81.1","0","0","0","0","0","0","0","0","0","236,713.00",21049,4.8768,0.4877,9.144
"3014",3014,"KY","Dix Dam",21,167,37.7864,-84.7028,0,3,0,0.1527,"28.2","0","37,726.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","37,726.00","0","0","0","0","0","0","0",21167,15.24,1.1064,10.82
"3019",3019,"KY","Green River",21,177,37.3636,-87.1214,0,4,1,0.5485,"188.6","9,823,095.20","906,273.00","2,066.50","18,989.67","1,007,843.20","22,848.50","34,272.80",-99,"4.5604","4.6827","41.9072","2,224.15","25.21","37.82","2,236.40",-99,0.4207,0.4194,3.8663,205.2,"4.5604","4.6827","41.9072","2,224.15","25.21","37.82","2,066.50","938.5","18,989.67","1,007,843.20","22,848.50","34,272.80","9,823,095.20","10,839.00","904,472.20","1,800.90","0","0","0","0","0","0","0","0","0","906,273.00",21177,24.994,0.0762,25.88
"3030",3030,"KY","Laurel",21,125,36.9614,-84.27,0,1,0,0.0953,"70","0","58,439.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","58,439.00","0","0","0","0","0","0","0",21125,18.288,1.3716,17.56
"3033",3033,"KY","Mason County LFGTE",21,161,38.5858,-83.7242,0,1,1,0.0067,"2","1,530.00","117","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0.41","0.19","0.01","87.8","3.6","0.4","1,530.00","13,076.92","0","0","0","0","0","117","0","0","0","0","0","0",21161,14.6305,0.9601,37.615
"3043",3043,"KY","PPS Power Plant No 1",21,145,37.0339,-88.6159,0,2,1,0.0214,"120","99,688.40","22,483.00","5.4","0.03","5,925.00","231.9","23.2",-99,"0.4802","0.373","0.0027","527.06","10.31","1.03","527.6",-99,0.1083,0.1012,6e-04,118.87,"0.4802","0.373","0.0027","527.06","10.31","1.03","5.4","2.41","0.03","5,925.00","231.9","23.2","99,688.40","4,433.94","0","0","22,483.00","0","0","0","0","0","0","0","0","22,483.00",21145,9.4488,0.8534,4.145
"3051",3051,"KY","Tyrone",21,239,38.0478,-84.8483,0,3,1,-0.0021,"75","0","-1,407.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1,399.60","-7.4","0","0","0","0","0","0","0","0","0","-1,407.00",21239,17.831,0.6096,8.23
"3052",3052,"KY","Unknown",21,NA,NA,NA,0,8,1,0,"1,468.00","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,10.668,0.6096,3.7795
